"Value of S","Average Key Comparisons"
"0","1498584.6199999999"
"1","1498584.6199999999"
"2","1498574.4600000004"
"3","1498996.4799999997"
"4","1498996.4799999997"
"5","1516879.2700000003"
"6","1520149.0899999999"
"7","1520149.0899999999"
"8","1520149.0899999999"
"9","1520149.0899999999"
"10","1520149.0899999999"
"11","1581885.4999999995"
"12","1601627.52"
"13","1601627.52"
"14","1601627.52"
"15","1601627.52"
"16","1601627.52"
"17","1601627.52"
"18","1601627.52"
"19","1601627.52"
"20","1601627.52"
"21","1601627.52"
"22","1601627.52"
"23","1727055.7700000003"
"24","1824300.9500000002"
"25","1824300.9500000002"
"26","1824300.9500000002"
"27","1824300.9500000002"
"28","1824300.9500000002"
"29","1824300.9500000002"
"30","1824300.9500000002"
"31","1824300.9500000002"
"32","1824300.9500000002"
"33","1824300.9500000002"
"34","1824300.9500000002"
"35","1824300.9500000002"
"36","1824300.9500000002"
"37","1824300.9500000002"
"38","1824300.9500000002"
"39","1824300.9500000002"
"40","1824300.9500000002"
"41","1824300.9500000002"
"42","1824300.9500000002"
"43","1824300.9500000002"
"44","1824300.9500000002"
"45","1824300.9500000002"
"46","1824300.9500000002"
"47","1910429.0299999996"
"48","2344556.729999999"
"49","2344556.729999999"
"50","2344556.729999999"
"51","2344556.729999999"
"52","2344556.729999999"
"53","2344556.729999999"
"54","2344556.729999999"
"55","2344556.729999999"
"56","2344556.729999999"
"57","2344556.729999999"
"58","2344556.729999999"
"59","2344556.729999999"
"60","2344556.729999999"
"61","2344556.729999999"
"62","2344556.729999999"
"63","2344556.729999999"
"64","2344556.729999999"
"65","2344556.729999999"
"66","2344556.729999999"
"67","2344556.729999999"
"68","2344556.729999999"
"69","2344556.729999999"
"70","2344556.729999999"
"71","2344556.729999999"
"72","2344556.729999999"
"73","2344556.729999999"
"74","2344556.729999999"
"75","2344556.729999999"
"76","2344556.729999999"
"77","2344556.729999999"
"78","2344556.729999999"
"79","2344556.729999999"
"80","2344556.729999999"
"81","2344556.729999999"
"82","2344556.729999999"
"83","2344556.729999999"
"84","2344556.729999999"
"85","2344556.729999999"
"86","2344556.729999999"
"87","2344556.729999999"
"88","2344556.729999999"
"89","2344556.729999999"
"90","2344556.729999999"
"91","2344556.729999999"
"92","2344556.729999999"
"93","2344556.729999999"
"94","2344556.729999999"
"95","2344556.729999999"
"96","2726501.060000001"
"97","3471390.5700000003"
"98","3471390.5700000003"
"99","3471390.5700000003"
"100","3471390.5700000003"
"101","3471390.5700000003"
"102","3471390.5700000003"
"103","3471390.5700000003"
"104","3471390.5700000003"
"105","3471390.5700000003"
"106","3471390.5700000003"
"107","3471390.5700000003"
"108","3471390.5700000003"
"109","3471390.5700000003"
"110","3471390.5700000003"
"111","3471390.5700000003"
"112","3471390.5700000003"
"113","3471390.5700000003"
"114","3471390.5700000003"
"115","3471390.5700000003"
"116","3471390.5700000003"
"117","3471390.5700000003"
"118","3471390.5700000003"
"119","3471390.5700000003"
"120","3471390.5700000003"
"121","3471390.5700000003"
"122","3471390.5700000003"
"123","3471390.5700000003"
"124","3471390.5700000003"
"125","3471390.5700000003"
"126","3471390.5700000003"
"127","3471390.5700000003"
"128","3471390.5700000003"
"129","3471390.5700000003"
"130","3471390.5700000003"
"131","3471390.5700000003"
"132","3471390.5700000003"
"133","3471390.5700000003"
"134","3471390.5700000003"
"135","3471390.5700000003"
"136","3471390.5700000003"
"137","3471390.5700000003"
"138","3471390.5700000003"
"139","3471390.5700000003"
"140","3471390.5700000003"
"141","3471390.5700000003"
"142","3471390.5700000003"
"143","3471390.5700000003"
"144","3471390.5700000003"
"145","3471390.5700000003"
"146","3471390.5700000003"
"147","3471390.5700000003"
"148","3471390.5700000003"
"149","3471390.5700000003"
"150","3471390.5700000003"
"151","3471390.5700000003"
"152","3471390.5700000003"
"153","3471390.5700000003"
"154","3471390.5700000003"
"155","3471390.5700000003"
"156","3471390.5700000003"
"157","3471390.5700000003"
"158","3471390.5700000003"
"159","3471390.5700000003"
"160","3471390.5700000003"
"161","3471390.5700000003"
"162","3471390.5700000003"
"163","3471390.5700000003"
"164","3471390.5700000003"
"165","3471390.5700000003"
"166","3471390.5700000003"
"167","3471390.5700000003"
"168","3471390.5700000003"
"169","3471390.5700000003"
"170","3471390.5700000003"
"171","3471390.5700000003"
"172","3471390.5700000003"
"173","3471390.5700000003"
"174","3471390.5700000003"
"175","3471390.5700000003"
"176","3471390.5700000003"
"177","3471390.5700000003"
"178","3471390.5700000003"
"179","3471390.5700000003"
"180","3471390.5700000003"
"181","3471390.5700000003"
"182","3471390.5700000003"
"183","3471390.5700000003"
"184","3471390.5700000003"
"185","3471390.5700000003"
"186","3471390.5700000003"
"187","3471390.5700000003"
"188","3471390.5700000003"
"189","3471390.5700000003"
"190","3471390.5700000003"
"191","3471390.5700000003"
"192","3471390.5700000003"
"193","3471390.5700000003"
"194","5077848.939999999"
"195","5815373.380000003"
"196","5815373.380000003"
"197","5815373.380000003"
"198","5815373.380000003"
"199","5815373.380000003"
"200","5815373.380000003"
"201","5815373.380000003"
"202","5815373.380000003"
"203","5815373.380000003"
"204","5815373.380000003"
"205","5815373.380000003"
"206","5815373.380000003"
"207","5815373.380000003"
"208","5815373.380000003"
"209","5815373.380000003"
"210","5815373.380000003"
"211","5815373.380000003"
"212","5815373.380000003"
"213","5815373.380000003"
"214","5815373.380000003"
"215","5815373.380000003"
"216","5815373.380000003"
"217","5815373.380000003"
"218","5815373.380000003"
"219","5815373.380000003"
"220","5815373.380000003"
"221","5815373.380000003"
"222","5815373.380000003"
"223","5815373.380000003"
"224","5815373.380000003"
"225","5815373.380000003"
"226","5815373.380000003"
"227","5815373.380000003"
"228","5815373.380000003"
"229","5815373.380000003"
"230","5815373.380000003"
"231","5815373.380000003"
"232","5815373.380000003"
"233","5815373.380000003"
"234","5815373.380000003"
"235","5815373.380000003"
"236","5815373.380000003"
"237","5815373.380000003"
"238","5815373.380000003"
"239","5815373.380000003"
"240","5815373.380000003"
"241","5815373.380000003"
"242","5815373.380000003"
"243","5815373.380000003"
"244","5815373.380000003"
"245","5815373.380000003"
"246","5815373.380000003"
"247","5815373.380000003"
"248","5815373.380000003"
"249","5815373.380000003"
