"Number of Vertices","Number of edges","Average Key Comparisons"
"Varying V, Fixed E","10","8357.0"
"Varying V, Fixed E","11","4096.0"
"Varying V, Fixed E","12","3071.0"
"Varying V, Fixed E","13","3272.0"
"Varying V, Fixed E","14","4176.0"
"Varying V, Fixed E","15","4983.0"
"Varying V, Fixed E","16","4341.0"
"Varying V, Fixed E","17","4820.0"
"Varying V, Fixed E","18","4086.0"
"Varying V, Fixed E","19","4206.0"
"Varying V, Fixed E","20","4237.0"
"Varying V, Fixed E","21","4470.0"
"Varying V, Fixed E","22","4842.0"
"Varying V, Fixed E","23","5152.0"
"Varying V, Fixed E","24","6056.0"
"Varying V, Fixed E","25","6044.0"
"Varying V, Fixed E","26","6145.0"
"Varying V, Fixed E","27","6742.0"
"Varying V, Fixed E","28","7555.0"
"Varying V, Fixed E","29","7351.0"
"Varying V, Fixed E","30","8777.0"
"Varying V, Fixed E","31","8420.0"
"Varying V, Fixed E","32","8929.0"
"Varying V, Fixed E","33","5562.0"
"Varying V, Fixed E","34","4875.0"
"Varying V, Fixed E","35","8070.0"
"Varying V, Fixed E","36","5516.0"
"Varying V, Fixed E","37","5424.0"
"Varying V, Fixed E","38","5682.0"
"Varying V, Fixed E","39","5909.0"
"Varying V, Fixed E","40","6318.0"
"Varying V, Fixed E","41","6298.0"
"Varying V, Fixed E","42","6561.0"
"Varying V, Fixed E","43","7679.0"
"Varying V, Fixed E","44","7976.0"
"Varying V, Fixed E","45","8153.0"
"Varying V, Fixed E","46","8573.0"
"Varying V, Fixed E","47","9719.0"
"Varying V, Fixed E","48","10704.0"
"Varying V, Fixed E","49","10602.0"
"Varying V, Fixed E","50","8560.0"
"Varying V, Fixed E","51","8690.0"
"Varying V, Fixed E","52","9212.0"
"Varying V, Fixed E","53","9418.0"
"Varying V, Fixed E","54","9945.0"
"Varying V, Fixed E","55","11153.0"
"Varying V, Fixed E","56","10306.0"
"Varying V, Fixed E","57","11407.0"
"Varying V, Fixed E","58","11359.0"
"Varying V, Fixed E","59","12146.0"
"Varying V, Fixed E","60","13054.0"
"Varying V, Fixed E","61","14786.0"
"Varying V, Fixed E","62","13729.0"
"Varying V, Fixed E","63","14008.0"
"Varying V, Fixed E","64","14501.0"
"Varying V, Fixed E","65","15128.0"
"Varying V, Fixed E","66","15330.0"
"Varying V, Fixed E","67","16951.0"
"Varying V, Fixed E","68","16147.0"
"Varying V, Fixed E","69","16230.0"
"Varying V, Fixed E","70","16923.0"
"Varying V, Fixed E","71","16662.0"
"Varying V, Fixed E","72","17310.0"
"Varying V, Fixed E","73","17702.0"
"Varying V, Fixed E","74","18053.0"
"Varying V, Fixed E","75","16633.0"
"Varying V, Fixed E","76","17635.0"
"Varying V, Fixed E","77","16968.0"
"Varying V, Fixed E","78","17038.0"
"Varying V, Fixed E","79","17871.0"
"Varying V, Fixed E","80","18329.0"
"Varying V, Fixed E","81","18568.0"
"Varying V, Fixed E","82","25412.0"
"Varying V, Fixed E","83","19459.0"
"Varying V, Fixed E","84","26226.0"
"Varying V, Fixed E","85","21218.0"
"Varying V, Fixed E","86","23286.0"
"Varying V, Fixed E","87","21570.0"
"Varying V, Fixed E","88","22319.0"
"Varying V, Fixed E","89","22373.0"
"Varying V, Fixed E","90","22756.0"
"Varying V, Fixed E","91","25220.0"
"Varying V, Fixed E","92","23343.0"
"Varying V, Fixed E","93","25798.0"
"Varying V, Fixed E","94","24494.0"
"Varying V, Fixed E","95","25268.0"
"Varying V, Fixed E","96","24993.0"
"Varying V, Fixed E","97","29701.0"
"Varying V, Fixed E","98","26008.0"
"Varying V, Fixed E","99","26135.0"
"Varying V, Fixed E","100","25825.0"
"Varying V, Fixed E","101","29348.0"
"Varying V, Fixed E","102","27420.0"
"Varying V, Fixed E","103","27607.0"
"Varying V, Fixed E","104","29842.0"
"Varying V, Fixed E","105","29321.0"
"Varying V, Fixed E","106","31003.0"
"Varying V, Fixed E","107","78459.0"
"Varying V, Fixed E","108","30322.0"
"Varying V, Fixed E","109","31099.0"
"Varying V, Fixed E","110","31860.0"
"Varying V, Fixed E","111","32599.0"
"Varying V, Fixed E","112","36254.0"
"Varying V, Fixed E","113","33655.0"
"Varying V, Fixed E","114","32591.0"
"Varying V, Fixed E","115","35591.0"
"Varying V, Fixed E","116","34303.0"
"Varying V, Fixed E","117","33541.0"
"Varying V, Fixed E","118","34589.0"
"Varying V, Fixed E","119","36742.0"
"Varying V, Fixed E","120","37145.0"
"Varying V, Fixed E","121","37912.0"
"Varying V, Fixed E","122","37194.0"
"Varying V, Fixed E","123","36107.0"
"Varying V, Fixed E","124","38640.0"
"Varying V, Fixed E","125","37248.0"
"Varying V, Fixed E","126","38451.0"
"Varying V, Fixed E","127","40817.0"
"Varying V, Fixed E","128","39728.0"
"Varying V, Fixed E","129","40042.0"
"Varying V, Fixed E","130","40076.0"
"Varying V, Fixed E","131","40978.0"
"Varying V, Fixed E","132","42704.0"
"Varying V, Fixed E","133","41127.0"
"Varying V, Fixed E","134","43525.0"
"Varying V, Fixed E","135","42370.0"
"Varying V, Fixed E","136","44777.0"
"Varying V, Fixed E","137","48358.0"
"Varying V, Fixed E","138","44688.0"
"Varying V, Fixed E","139","44140.0"
"Varying V, Fixed E","140","44310.0"
"Varying V, Fixed E","141","46510.0"
"Varying V, Fixed E","142","46617.0"
"Varying V, Fixed E","143","46628.0"
"Varying V, Fixed E","144","50623.0"
"Varying V, Fixed E","145","52445.0"
"Varying V, Fixed E","146","49440.0"
"Varying V, Fixed E","147","51156.0"
"Varying V, Fixed E","148","48025.0"
"Varying V, Fixed E","149","48812.0"
"Varying V, Fixed E","150","49316.0"
"Varying V, Fixed E","151","52295.0"
"Varying V, Fixed E","152","55615.0"
"Varying V, Fixed E","153","55233.0"
"Varying V, Fixed E","154","56607.0"
"Varying V, Fixed E","155","53074.0"
"Varying V, Fixed E","156","56566.0"
"Varying V, Fixed E","157","54295.0"
"Varying V, Fixed E","158","69074.0"
"Varying V, Fixed E","159","56260.0"
"Varying V, Fixed E","160","57608.0"
"Varying V, Fixed E","161","56653.0"
"Varying V, Fixed E","162","71531.0"
"Varying V, Fixed E","163","57023.0"
"Varying V, Fixed E","164","65924.0"
"Varying V, Fixed E","165","63942.0"
"Varying V, Fixed E","166","59539.0"
"Varying V, Fixed E","167","68570.0"
"Varying V, Fixed E","168","59731.0"
"Varying V, Fixed E","169","62004.0"
"Varying V, Fixed E","170","64502.0"
"Varying V, Fixed E","171","65869.0"
"Varying V, Fixed E","172","72646.0"
"Varying V, Fixed E","173","66516.0"
"Varying V, Fixed E","174","64723.0"
"Varying V, Fixed E","175","64570.0"
"Varying V, Fixed E","176","66337.0"
"Varying V, Fixed E","177","67200.0"
"Varying V, Fixed E","178","67713.0"
"Varying V, Fixed E","179","70373.0"
"Varying V, Fixed E","180","67943.0"
"Varying V, Fixed E","181","70191.0"
"Varying V, Fixed E","182","69756.0"
"Varying V, Fixed E","183","70071.0"
"Varying V, Fixed E","184","75821.0"
"Varying V, Fixed E","185","70882.0"
"Varying V, Fixed E","186","73614.0"
"Varying V, Fixed E","187","71000.0"
"Varying V, Fixed E","188","74827.0"
"Varying V, Fixed E","189","78692.0"
"Varying V, Fixed E","190","75821.0"
"Varying V, Fixed E","191","78610.0"
"Varying V, Fixed E","192","80940.0"
"Varying V, Fixed E","193","75763.0"
"Varying V, Fixed E","194","85837.0"
"Varying V, Fixed E","195","77580.0"
"Varying V, Fixed E","196","84373.0"
"Varying V, Fixed E","197","81550.0"
"Varying V, Fixed E","198","79428.0"
"Varying V, Fixed E","199","81643.0"
"Varying V, Fixed E","200","81620.0"
"Varying V, Fixed E","201","83295.0"
"Varying V, Fixed E","202","83207.0"
"Varying V, Fixed E","203","88066.0"
"Varying V, Fixed E","204","84944.0"
"Varying V, Fixed E","205","89353.0"
"Varying V, Fixed E","206","91518.0"
"Varying V, Fixed E","207","91124.0"
"Varying V, Fixed E","208","90359.0"
"Varying V, Fixed E","209","89016.0"
"Varying V, Fixed E","210","90564.0"
"Varying V, Fixed E","211","89092.0"
"Varying V, Fixed E","212","100714.0"
"Varying V, Fixed E","213","90721.0"
"Varying V, Fixed E","214","92137.0"
"Varying V, Fixed E","215","100402.0"
"Varying V, Fixed E","216","101093.0"
"Varying V, Fixed E","217","99452.0"
"Varying V, Fixed E","218","104328.0"
"Varying V, Fixed E","219","98198.0"
"Varying V, Fixed E","220","100878.0"
"Varying V, Fixed E","221","102534.0"
"Varying V, Fixed E","222","103774.0"
"Varying V, Fixed E","223","106375.0"
"Varying V, Fixed E","224","98552.0"
"Varying V, Fixed E","225","106681.0"
"Varying V, Fixed E","226","100337.0"
"Varying V, Fixed E","227","100778.0"
"Varying V, Fixed E","228","103654.0"
"Varying V, Fixed E","229","107836.0"
"Varying V, Fixed E","230","108490.0"
"Varying V, Fixed E","231","110266.0"
"Varying V, Fixed E","232","114081.0"
"Varying V, Fixed E","233","110592.0"
"Varying V, Fixed E","234","109342.0"
"Varying V, Fixed E","235","110922.0"
"Varying V, Fixed E","236","117453.0"
"Varying V, Fixed E","237","117646.0"
"Varying V, Fixed E","238","122476.0"
"Varying V, Fixed E","239","117001.0"
"Varying V, Fixed E","240","113961.0"
"Varying V, Fixed E","241","119409.0"
"Varying V, Fixed E","242","119987.0"
"Varying V, Fixed E","243","117390.0"
"Varying V, Fixed E","244","119731.0"
"Varying V, Fixed E","245","119648.0"
"Varying V, Fixed E","246","120762.0"
"Varying V, Fixed E","247","124103.0"
"Varying V, Fixed E","248","120238.0"
"Varying V, Fixed E","249","122783.0"
"Varying V, Fixed E","250","128011.0"
"Varying V, Fixed E","251","122580.0"
"Varying V, Fixed E","252","127222.0"
"Varying V, Fixed E","253","121575.0"
"Varying V, Fixed E","254","127630.0"
"Varying V, Fixed E","255","122768.0"
"Varying V, Fixed E","256","124153.0"
"Varying V, Fixed E","257","128503.0"
"Varying V, Fixed E","258","131638.0"
"Varying V, Fixed E","259","131783.0"
"Varying V, Fixed E","260","147905.0"
"Varying V, Fixed E","261","129186.0"
"Varying V, Fixed E","262","136350.0"
"Varying V, Fixed E","263","141301.0"
"Varying V, Fixed E","264","145063.0"
"Varying V, Fixed E","265","135589.0"
"Varying V, Fixed E","266","134138.0"
"Varying V, Fixed E","267","140578.0"
"Varying V, Fixed E","268","137072.0"
"Varying V, Fixed E","269","141651.0"
"Varying V, Fixed E","270","147440.0"
"Varying V, Fixed E","271","140196.0"
"Varying V, Fixed E","272","153610.0"
"Varying V, Fixed E","273","150701.0"
"Varying V, Fixed E","274","158629.0"
"Varying V, Fixed E","275","158200.0"
"Varying V, Fixed E","276","163057.0"
"Varying V, Fixed E","277","150593.0"
"Varying V, Fixed E","278","160118.0"
"Varying V, Fixed E","279","153249.0"
"Varying V, Fixed E","280","167410.0"
"Varying V, Fixed E","281","157582.0"
"Varying V, Fixed E","282","158654.0"
"Varying V, Fixed E","283","159516.0"
"Varying V, Fixed E","284","173392.0"
"Varying V, Fixed E","285","160864.0"
"Varying V, Fixed E","286","164840.0"
"Varying V, Fixed E","287","155419.0"
"Varying V, Fixed E","288","156022.0"
"Varying V, Fixed E","289","160771.0"
"Varying V, Fixed E","290","165647.0"
"Varying V, Fixed E","291","168677.0"
"Varying V, Fixed E","292","157188.0"
"Varying V, Fixed E","293","161331.0"
"Varying V, Fixed E","294","164801.0"
"Varying V, Fixed E","295","189180.0"
"Varying V, Fixed E","296","175808.0"
"Varying V, Fixed E","297","178109.0"
"Varying V, Fixed E","298","176651.0"
"Varying V, Fixed E","299","181290.0"
"Varying V, Fixed E","300","189868.0"
"Varying V, Fixed E","301","172338.0"
"Varying V, Fixed E","302","189154.0"
"Varying V, Fixed E","303","183534.0"
"Varying V, Fixed E","304","182881.0"
"Varying V, Fixed E","305","173820.0"
"Varying V, Fixed E","306","175350.0"
"Varying V, Fixed E","307","175942.0"
"Varying V, Fixed E","308","178182.0"
"Varying V, Fixed E","309","180628.0"
"Varying V, Fixed E","310","180074.0"
"Varying V, Fixed E","311","188205.0"
"Varying V, Fixed E","312","186935.0"
"Varying V, Fixed E","313","192138.0"
"Varying V, Fixed E","314","199936.0"
"Varying V, Fixed E","315","188406.0"
"Varying V, Fixed E","316","188451.0"
"Varying V, Fixed E","317","198212.0"
"Varying V, Fixed E","318","192906.0"
"Varying V, Fixed E","319","190079.0"
"Varying V, Fixed E","320","196809.0"
"Varying V, Fixed E","321","206347.0"
"Varying V, Fixed E","322","200336.0"
"Varying V, Fixed E","323","196530.0"
"Varying V, Fixed E","324","200827.0"
"Varying V, Fixed E","325","197869.0"
"Varying V, Fixed E","326","208553.0"
"Varying V, Fixed E","327","203265.0"
"Varying V, Fixed E","328","206157.0"
"Varying V, Fixed E","329","216250.0"
"Varying V, Fixed E","330","212010.0"
"Varying V, Fixed E","331","211232.0"
"Varying V, Fixed E","332","208889.0"
"Varying V, Fixed E","333","211148.0"
"Varying V, Fixed E","334","214528.0"
"Varying V, Fixed E","335","214893.0"
"Varying V, Fixed E","336","217700.0"
"Varying V, Fixed E","337","218310.0"
"Varying V, Fixed E","338","222124.0"
"Varying V, Fixed E","339","221629.0"
"Varying V, Fixed E","340","220532.0"
"Varying V, Fixed E","341","220908.0"
"Varying V, Fixed E","342","224708.0"
"Varying V, Fixed E","343","229838.0"
"Varying V, Fixed E","344","230540.0"
"Varying V, Fixed E","345","232427.0"
"Varying V, Fixed E","346","233184.0"
"Varying V, Fixed E","347","231877.0"
"Varying V, Fixed E","348","234358.0"
"Varying V, Fixed E","349","236821.0"
"Varying V, Fixed E","350","239368.0"
"Varying V, Fixed E","351","249549.0"
"Varying V, Fixed E","352","238528.0"
"Varying V, Fixed E","353","243541.0"
"Varying V, Fixed E","354","240906.0"
"Varying V, Fixed E","355","244974.0"
"Varying V, Fixed E","356","252106.0"
"Varying V, Fixed E","357","250876.0"
"Varying V, Fixed E","358","246290.0"
"Varying V, Fixed E","359","252873.0"
"Varying V, Fixed E","360","251960.0"
"Varying V, Fixed E","361","257000.0"
"Varying V, Fixed E","362","256733.0"
"Varying V, Fixed E","363","255389.0"
"Varying V, Fixed E","364","260477.0"
"Varying V, Fixed E","365","259951.0"
"Varying V, Fixed E","366","271393.0"
"Varying V, Fixed E","367","263683.0"
"Varying V, Fixed E","368","271371.0"
"Varying V, Fixed E","369","267955.0"
"Varying V, Fixed E","370","266522.0"
"Varying V, Fixed E","371","266276.0"
"Varying V, Fixed E","372","267934.0"
"Varying V, Fixed E","373","271249.0"
"Varying V, Fixed E","374","270486.0"
"Varying V, Fixed E","375","279225.0"
"Varying V, Fixed E","376","290594.0"
"Varying V, Fixed E","377","280019.0"
"Varying V, Fixed E","378","291478.0"
"Varying V, Fixed E","379","286827.0"
"Varying V, Fixed E","380","300667.0"
"Varying V, Fixed E","381","301021.0"
"Varying V, Fixed E","382","286103.0"
"Varying V, Fixed E","383","303054.0"
"Varying V, Fixed E","384","302646.0"
"Varying V, Fixed E","385","319313.0"
"Varying V, Fixed E","386","310971.0"
"Varying V, Fixed E","387","307250.0"
"Varying V, Fixed E","388","304922.0"
"Varying V, Fixed E","389","313602.0"
"Varying V, Fixed E","390","314209.0"
"Varying V, Fixed E","391","321255.0"
"Varying V, Fixed E","392","329936.0"
"Varying V, Fixed E","393","341656.0"
"Varying V, Fixed E","394","329445.0"
"Varying V, Fixed E","395","324446.0"
"Varying V, Fixed E","396","325053.0"
"Varying V, Fixed E","397","370604.0"
"Varying V, Fixed E","398","344897.0"
"Varying V, Fixed E","399","325765.0"
"Varying V, Fixed E","400","327520.0"
"Varying V, Fixed E","401","334398.0"
"Varying V, Fixed E","402","338206.0"
"Varying V, Fixed E","403","332800.0"
"Varying V, Fixed E","404","333756.0"
"Varying V, Fixed E","405","339432.0"
"Varying V, Fixed E","406","330579.0"
"Varying V, Fixed E","407","347307.0"
"Varying V, Fixed E","408","336599.0"
"Varying V, Fixed E","409","327594.0"
"Varying V, Fixed E","410","349691.0"
"Varying V, Fixed E","411","361593.0"
"Varying V, Fixed E","412","357149.0"
"Varying V, Fixed E","413","355629.0"
"Varying V, Fixed E","414","331512.0"
"Varying V, Fixed E","415","338514.0"
"Varying V, Fixed E","416","347894.0"
"Varying V, Fixed E","417","339278.0"
"Varying V, Fixed E","418","342110.0"
"Varying V, Fixed E","419","356830.0"
"Varying V, Fixed E","420","341784.0"
"Varying V, Fixed E","421","350006.0"
"Varying V, Fixed E","422","354954.0"
"Varying V, Fixed E","423","353637.0"
"Varying V, Fixed E","424","366425.0"
"Varying V, Fixed E","425","357525.0"
"Varying V, Fixed E","426","364092.0"
"Varying V, Fixed E","427","358384.0"
"Varying V, Fixed E","428","356603.0"
"Varying V, Fixed E","429","358222.0"
"Varying V, Fixed E","430","370784.0"
"Varying V, Fixed E","431","362332.0"
"Varying V, Fixed E","432","371904.0"
"Varying V, Fixed E","433","365822.0"
"Varying V, Fixed E","434","367192.0"
"Varying V, Fixed E","435","374803.0"
"Varying V, Fixed E","436","371946.0"
"Varying V, Fixed E","437","381275.0"
"Varying V, Fixed E","438","389893.0"
"Varying V, Fixed E","439","408118.0"
"Varying V, Fixed E","440","389854.0"
"Varying V, Fixed E","441","440655.0"
"Varying V, Fixed E","442","442084.0"
"Varying V, Fixed E","443","465264.0"
"Varying V, Fixed E","444","406835.0"
"Varying V, Fixed E","445","428558.0"
"Varying V, Fixed E","446","408586.0"
"Varying V, Fixed E","447","386334.0"
"Varying V, Fixed E","448","405277.0"
"Varying V, Fixed E","449","436289.0"
"Varying V, Fixed E","450","430249.0"
"Varying V, Fixed E","451","425500.0"
"Varying V, Fixed E","452","397416.0"
"Varying V, Fixed E","453","405302.0"
"Varying V, Fixed E","454","415715.0"
"Varying V, Fixed E","455","414190.0"
"Varying V, Fixed E","456","430297.0"
"Varying V, Fixed E","457","409960.0"
"Varying V, Fixed E","458","412477.0"
"Varying V, Fixed E","459","416285.0"
"Varying V, Fixed E","460","424866.0"
"Varying V, Fixed E","461","444846.0"
"Varying V, Fixed E","462","423869.0"
"Varying V, Fixed E","463","426215.0"
"Varying V, Fixed E","464","424660.0"
"Varying V, Fixed E","465","425144.0"
"Varying V, Fixed E","466","430501.0"
"Varying V, Fixed E","467","428857.0"
"Varying V, Fixed E","468","427867.0"
"Varying V, Fixed E","469","429730.0"
"Varying V, Fixed E","470","452464.0"
"Varying V, Fixed E","471","439150.0"
"Varying V, Fixed E","472","440652.0"
"Varying V, Fixed E","473","438082.0"
"Varying V, Fixed E","474","437024.0"
"Varying V, Fixed E","475","449790.0"
"Varying V, Fixed E","476","446446.0"
"Varying V, Fixed E","477","443027.0"
"Varying V, Fixed E","478","439919.0"
"Varying V, Fixed E","479","447237.0"
"Varying V, Fixed E","480","446928.0"
"Varying V, Fixed E","481","466962.0"
"Varying V, Fixed E","482","449376.0"
"Varying V, Fixed E","483","454052.0"
"Varying V, Fixed E","484","455724.0"
"Varying V, Fixed E","485","461044.0"
"Varying V, Fixed E","486","461932.0"
"Varying V, Fixed E","487","459006.0"
"Varying V, Fixed E","488","465395.0"
"Varying V, Fixed E","489","462090.0"
"Varying V, Fixed E","490","478239.0"
"Varying V, Fixed E","491","469235.0"
"Varying V, Fixed E","492","468107.0"
"Varying V, Fixed E","493","476761.0"
"Varying V, Fixed E","494","489501.0"
"Varying V, Fixed E","495","489268.0"
"Varying V, Fixed E","496","479836.0"
"Varying V, Fixed E","497","480004.0"
"Varying V, Fixed E","498","487415.0"
"Varying V, Fixed E","499","482394.0"
"Varying V, Fixed E","500","499309.0"
"Varying V, Fixed E","501","485254.0"
"Varying V, Fixed E","502","485974.0"
"Varying V, Fixed E","503","491372.0"
"Varying V, Fixed E","504","488336.0"
"Varying V, Fixed E","505","490735.0"
"Varying V, Fixed E","506","496572.0"
"Varying V, Fixed E","507","497814.0"
"Varying V, Fixed E","508","502002.0"
"Varying V, Fixed E","509","504843.0"
"Varying V, Fixed E","510","515909.0"
"Varying V, Fixed E","511","545765.0"
