"S value","Number of Comparisons"
"0","4.698642271428572E7"
"1","4.698642271428572E7"
"2","4.698630019047618E7"
"3","4.7041407E7"
"4","4.720840633333333E7"
"5","4.720840633333333E7"
"6","4.720840633333333E7"
"7","4.720840633333333E7"
"8","4.813565814285714E7"
"9","4.837611695238094E7"
"10","4.837611695238094E7"
"11","4.837611695238094E7"
"12","4.837611695238094E7"
"13","4.837611695238094E7"
"14","4.837611695238094E7"
"15","4.837611695238094E7"
"16","4.837611695238094E7"
"17","5.0747274666666664E7"
"18","5.199262795238095E7"
"19","5.199262795238095E7"
"20","5.199262795238095E7"
"21","5.199262795238095E7"
"22","5.199262795238095E7"
"23","5.199262795238095E7"
"24","5.199262795238095E7"
"25","5.199262795238095E7"
"26","5.199262795238095E7"
"27","5.199262795238095E7"
"28","5.199262795238095E7"
"29","5.199262795238095E7"
"30","5.199262795238095E7"
"31","5.199262795238095E7"
"32","5.199262795238095E7"
"33","5.199262795238095E7"
"34","5.199262795238095E7"
"35","5.514024828571428E7"
"36","6.08943519047619E7"
"37","6.08943519047619E7"
"38","6.08943519047619E7"
"39","6.08943519047619E7"
"40","6.08943519047619E7"
"41","6.08943519047619E7"
"42","6.08943519047619E7"
"43","6.08943519047619E7"
"44","6.08943519047619E7"
"45","6.08943519047619E7"
"46","6.08943519047619E7"
"47","6.08943519047619E7"
"48","6.08943519047619E7"
"49","6.08943519047619E7"
"50","6.08943519047619E7"
"51","6.08943519047619E7"
"52","6.08943519047619E7"
"53","6.08943519047619E7"
"54","6.08943519047619E7"
"55","6.08943519047619E7"
"56","6.08943519047619E7"
"57","6.08943519047619E7"
"58","6.08943519047619E7"
"59","6.08943519047619E7"
"60","6.08943519047619E7"
"61","6.08943519047619E7"
"62","6.08943519047619E7"
"63","6.08943519047619E7"
"64","6.08943519047619E7"
"65","6.08943519047619E7"
"66","6.08943519047619E7"
"67","6.08943519047619E7"
"68","6.08943519047619E7"
"69","6.08943519047619E7"
"70","6.08943519047619E7"
"71","6.08943519047619E7"
"72","7.529844723809524E7"
"73","8.065190276190476E7"
"74","8.065190276190476E7"
"75","8.065190276190476E7"
"76","8.065190276190476E7"
"77","8.065190276190476E7"
"78","8.065190276190476E7"
"79","8.065190276190476E7"
"80","8.065190276190476E7"
"81","8.065190276190476E7"
"82","8.065190276190476E7"
"83","8.065190276190476E7"
"84","8.065190276190476E7"
"85","8.065190276190476E7"
"86","8.065190276190476E7"
"87","8.065190276190476E7"
"88","8.065190276190476E7"
"89","8.065190276190476E7"
"90","8.065190276190476E7"
"91","8.065190276190476E7"
"92","8.065190276190476E7"
"93","8.065190276190476E7"
"94","8.065190276190476E7"
"95","8.065190276190476E7"
"96","8.065190276190476E7"
"97","8.065190276190476E7"
"98","8.065190276190476E7"
"99","8.065190276190476E7"
"100","8.065190276190476E7"
"101","8.065190276190476E7"
"102","8.065190276190476E7"
"103","8.065190276190476E7"
"104","8.065190276190476E7"
"105","8.065190276190476E7"
"106","8.065190276190476E7"
"107","8.065190276190476E7"
"108","8.065190276190476E7"
"109","8.065190276190476E7"
"110","8.065190276190476E7"
"111","8.065190276190476E7"
"112","8.065190276190476E7"
"113","8.065190276190476E7"
"114","8.065190276190476E7"
"115","8.065190276190476E7"
"116","8.065190276190476E7"
"117","8.065190276190476E7"
"118","8.065190276190476E7"
"119","8.065190276190476E7"
"120","8.065190276190476E7"
"121","8.065190276190476E7"
"122","8.065190276190476E7"
"123","8.065190276190476E7"
"124","8.065190276190476E7"
"125","8.065190276190476E7"
"126","8.065190276190476E7"
"127","8.065190276190476E7"
"128","8.065190276190476E7"
"129","8.065190276190476E7"
"130","8.065190276190476E7"
"131","8.065190276190476E7"
"132","8.065190276190476E7"
"133","8.065190276190476E7"
"134","8.065190276190476E7"
"135","8.065190276190476E7"
"136","8.065190276190476E7"
"137","8.065190276190476E7"
"138","8.065190276190476E7"
"139","8.065190276190476E7"
"140","8.065190276190476E7"
"141","8.065190276190476E7"
"142","8.065190276190476E7"
"143","8.065190276190476E7"
"144","8.065190276190476E7"
"145","1.0006242533333333E8"
"146","1.2232377642857143E8"
"147","1.2232377642857143E8"
"148","1.2232377642857143E8"
"149","1.2232377642857143E8"
"150","1.2232377642857143E8"
"151","1.2232377642857143E8"
"152","1.2232377642857143E8"
"153","1.2232377642857143E8"
"154","1.2232377642857143E8"
"155","1.2232377642857143E8"
"156","1.2232377642857143E8"
"157","1.2232377642857143E8"
"158","1.2232377642857143E8"
"159","1.2232377642857143E8"
"160","1.2232377642857143E8"
"161","1.2232377642857143E8"
"162","1.2232377642857143E8"
"163","1.2232377642857143E8"
"164","1.2232377642857143E8"
"165","1.2232377642857143E8"
"166","1.2232377642857143E8"
"167","1.2232377642857143E8"
"168","1.2232377642857143E8"
"169","1.2232377642857143E8"
"170","1.2232377642857143E8"
"171","1.2232377642857143E8"
"172","1.2232377642857143E8"
"173","1.2232377642857143E8"
"174","1.2232377642857143E8"
"175","1.2232377642857143E8"
"176","1.2232377642857143E8"
"177","1.2232377642857143E8"
"178","1.2232377642857143E8"
"179","1.2232377642857143E8"
"180","1.2232377642857143E8"
"181","1.2232377642857143E8"
"182","1.2232377642857143E8"
"183","1.2232377642857143E8"
"184","1.2232377642857143E8"
"185","1.2232377642857143E8"
"186","1.2232377642857143E8"
"187","1.2232377642857143E8"
"188","1.2232377642857143E8"
"189","1.2232377642857143E8"
"190","1.2232377642857143E8"
"191","1.2232377642857143E8"
"192","1.2232377642857143E8"
"193","1.2232377642857143E8"
"194","1.2232377642857143E8"
"195","1.2232377642857143E8"
"196","1.2232377642857143E8"
"197","1.2232377642857143E8"
"198","1.2232377642857143E8"
"199","1.2232377642857143E8"
"200","1.2232377642857143E8"
"201","1.2232377642857143E8"
"202","1.2232377642857143E8"
"203","1.2232377642857143E8"
"204","1.2232377642857143E8"
"205","1.2232377642857143E8"
"206","1.2232377642857143E8"
"207","1.2232377642857143E8"
"208","1.2232377642857143E8"
"209","1.2232377642857143E8"
"210","1.2232377642857143E8"
"211","1.2232377642857143E8"
"212","1.2232377642857143E8"
"213","1.2232377642857143E8"
"214","1.2232377642857143E8"
"215","1.2232377642857143E8"
"216","1.2232377642857143E8"
"217","1.2232377642857143E8"
"218","1.2232377642857143E8"
"219","1.2232377642857143E8"
"220","1.2232377642857143E8"
"221","1.2232377642857143E8"
"222","1.2232377642857143E8"
"223","1.2232377642857143E8"
"224","1.2232377642857143E8"
"225","1.2232377642857143E8"
"226","1.2232377642857143E8"
"227","1.2232377642857143E8"
"228","1.2232377642857143E8"
"229","1.2232377642857143E8"
"230","1.2232377642857143E8"
"231","1.2232377642857143E8"
"232","1.2232377642857143E8"
"233","1.2232377642857143E8"
"234","1.2232377642857143E8"
"235","1.2232377642857143E8"
"236","1.2232377642857143E8"
"237","1.2232377642857143E8"
"238","1.2232377642857143E8"
"239","1.2232377642857143E8"
"240","1.2232377642857143E8"
"241","1.2232377642857143E8"
"242","1.2232377642857143E8"
"243","1.2232377642857143E8"
"244","1.2232377642857143E8"
"245","1.2232377642857143E8"
"246","1.2232377642857143E8"
"247","1.2232377642857143E8"
"248","1.2232377642857143E8"
"249","1.2232377642857143E8"
